model_name,field_name
LogisticsAndFleetManagement,total_vehicles
LogisticsAndFleetManagement,vehicles_in_use
LogisticsAndFleetManagement,fuel_costs
LogisticsAndFleetManagement,maintenance_costs
LogisticsAndFleetManagement,vehicle_insurance_expenses
LogisticsAndFleetManagement,created_at
LogisticsAndFleetManagement,updated_at
LogisticsAndFleetManagement,reported_date
LogisticsAndFleetManagement,vehicle_replacement_value
LogisticsAndFleetManagement,fleet_utilization_rate
LogisticsAndFleetManagement,fleet_safety_compliance_rate
LogisticsAndFleetManagement,vehicle_acquisition_cost
LogisticsAndFleetManagement,comments
